"Statistic","Year","Make and Model","UNIT","VALUE"
"New Private Cars Licensed for the First Time","2020","Alfa Romeo Giulietta","Number","8"
"New Private Cars Licensed for the First Time","2020","Alfa Romeo Giulia","Number","9"
"New Private Cars Licensed for the First Time","2020","Alfa Romeo Stelvio","Number","6"
"New Private Cars Licensed for the First Time","2020","Audi TT","Number","11"
"New Private Cars Licensed for the First Time","2020","Audi A3","Number","509"
"New Private Cars Licensed for the First Time","2020","Audi A4","Number","559"
"New Private Cars Licensed for the First Time","2020","Audi A6","Number","582"
"New Private Cars Licensed for the First Time","2020","Audi A8","Number","14"
"New Private Cars Licensed for the First Time","2020","Audi Q7","Number","111"
"New Private Cars Licensed for the First Time","2020","Audi S5","Number","0"
"New Private Cars Licensed for the First Time","2020","Audi A5","Number","181"
"New Private Cars Licensed for the First Time","2020","Audi Q5","Number","371"
"New Private Cars Licensed for the First Time","2020","Audi A1","Number","188"
"New Private Cars Licensed for the First Time","2020","Audi A7","Number","28"
"New Private Cars Licensed for the First Time","2020","Audi Q3","Number","542"
"New Private Cars Licensed for the First Time","2020","Audi Q2","Number","242"
"New Private Cars Licensed for the First Time","2020","Audi Q8","Number","39"
"New Private Cars Licensed for the First Time","2020","Audi e-tron","Number","107"
"New Private Cars Licensed for the First Time","2020","BMW 5 Series","Number","605"
"New Private Cars Licensed for the First Time","2020","BMW 7 Series","Number","27"
"New Private Cars Licensed for the First Time","2020","BMW X5","Number","392"
"New Private Cars Licensed for the First Time","2020","BMW 6 Series","Number","5"
"New Private Cars Licensed for the First Time","2020","BMW X3","Number","316"
"New Private Cars Licensed for the First Time","2020","BMW M5","Number","6"
"New Private Cars Licensed for the First Time","2020","BMW 8 Series","Number","44"
"New Private Cars Licensed for the First Time","2020","BMW 3 Series","Number","750"
"New Private Cars Licensed for the First Time","2020","BMW X1","Number","252"
"New Private Cars Licensed for the First Time","2020","BMW 1 Series","Number","254"
"New Private Cars Licensed for the First Time","2020","BMW 4 Series","Number","34"
"New Private Cars Licensed for the First Time","2020","BMW i3","Number","74"
"New Private Cars Licensed for the First Time","2020","BMW 2 Series","Number","131"
"New Private Cars Licensed for the First Time","2020","BMW M4","Number","2"
